TID	Items	Quantities	Profit	Utility
T1316	2,3,5,7,10,11,14,15,17,19,22,23,25,27,29,31,34,36,38,40,42,44,46,48,51,52,54,56,58,60,62,64,66,68,70,72,74	3,3,4,1,4,2,2,3,3,1,2,4,2,4,1,4,1,2,1,2,3,2,3,4,1,3,2,3,3,4,4,4,1,1,2,3,2	1,-2,4,4,4,-5,-5,-5,-5,-5,3,-3,-3,2,-1,4,-1,-3,-2,-4,-3,-1,-4,-1,1,-1,-5,-3,-2,-5,-4,-3,-3,-4,3,2,-4	3,-6,16,4,16,-10,-10,-15,-15,-5,6,-12,-6,8,-1,16,-1,-6,-2,-8,-9,-2,-12,-4,1,-3,-10,-9,-6,-20,-16,-12,-3,-4,6,6,-8
T1317	2,3,5,8,9,11,14,16,17,19,22,23,25,27,29,31,34,36,38,40,42,44,46,48,51,52,54,56,58,60,62,64,66,68,70,72,74	4,4,2,2,4,3,4,1,4,1,3,1,2,1,2,1,1,3,1,1,4,4,1,2,2,4,3,4,4,3,3,1,2,2,1,3,3	1,-2,4,4,-4,-5,-5,-4,-5,-5,3,-3,-3,2,-1,4,-1,-3,-2,-4,-3,-1,-4,-1,1,-1,-5,-3,-2,-5,-4,-3,-3,-4,3,2,-4	4,-8,8,8,-16,-15,-20,-4,-20,-5,9,-3,-6,2,-2,4,-1,-9,-2,-4,-12,-4,-4,-2,2,-4,-15,-12,-8,-15,-12,-3,-6,-8,3,6,-12
T1318	2,3,5,7,9,12,14,16,17,19,22,23,25,27,29,31,34,36,38,40,42,44,46,48,51,52,54,56,58,60,62,64,66,68,70,72,74	1,1,2,3,1,2,3,1,2,3,1,4,4,2,4,2,4,2,4,4,4,3,2,3,1,2,3,4,4,3,1,3,4,2,3,1,2	1,-2,4,4,-4,1,-5,-4,-5,-5,3,-3,-3,2,-1,4,-1,-3,-2,-4,-3,-1,-4,-1,1,-1,-5,-3,-2,-5,-4,-3,-3,-4,3,2,-4	1,-2,8,12,-4,2,-15,-4,-10,-15,3,-12,-12,4,-4,8,-4,-6,-8,-16,-12,-3,-8,-3,1,-2,-15,-12,-8,-15,-4,-9,-12,-8,9,2,-8
T1319	2,3,5,8,9,12,14,16,17,19,22,23,25,27,29,31,34,36,38,40,42,44,46,48,51,52,54,56,58,60,62,64,66,68,70,72,74	4,2,3,4,4,3,4,1,4,2,2,4,1,2,2,3,4,2,3,1,2,1,1,4,4,3,2,4,4,2,4,4,4,4,2,1,4	1,-2,4,4,-4,1,-5,-4,-5,-5,3,-3,-3,2,-1,4,-1,-3,-2,-4,-3,-1,-4,-1,1,-1,-5,-3,-2,-5,-4,-3,-3,-4,3,2,-4	4,-4,12,16,-16,3,-20,-4,-20,-10,6,-12,-3,4,-2,12,-4,-6,-6,-4,-6,-1,-4,-4,4,-3,-10,-12,-8,-10,-16,-12,-12,-16,6,2,-16
T1320	2,3,5,7,9,11,14,15,17,19,22,23,25,27,29,31,34,36,38,40,42,44,46,48,51,52,54,56,58,60,62,64,66,69,70,72,74	4,3,3,2,2,1,3,1,1,1,3,1,4,3,1,1,3,2,3,1,2,2,2,3,4,1,4,1,4,1,1,4,3,1,1,2,3	1,-2,4,4,-4,-5,-5,-5,-5,-5,3,-3,-3,2,-1,4,-1,-3,-2,-4,-3,-1,-4,-1,1,-1,-5,-3,-2,-5,-4,-3,-3,2,3,2,-4	4,-6,12,8,-8,-5,-15,-5,-5,-5,9,-3,-12,6,-1,4,-3,-6,-6,-4,-6,-2,-8,-3,4,-1,-20,-3,-8,-5,-4,-12,-9,2,3,4,-12
T1321	2,3,5,7,9,11,14,15,17,19,22,24,25,27,29,31,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62,64,66,68,70,72,74	1,2,2,3,2,4,4,1,2,4,4,2,2,2,3,4,1,3,1,1,2,2,1,2,2,3,1,3,2,4,3,2,4,2,1,3,2	1,-2,4,4,-4,-5,-5,-5,-5,-5,3,5,-3,2,-1,4,-1,-3,-2,-4,-3,-1,-4,-1,-4,-1,-5,-3,-2,-5,-4,-3,-3,-4,3,2,-4	1,-4,8,12,-8,-20,-20,-5,-10,-20,12,10,-6,4,-3,16,-1,-9,-2,-4,-6,-2,-4,-2,-8,-3,-5,-9,-4,-20,-12,-6,-12,-8,3,6,-8
T1322	2,3,5,7,9,11,14,15,17,19,22,24,25,27,29,31,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62,65,66,69,70,72,74	1,4,1,2,4,2,1,4,4,3,4,2,2,3,3,1,2,2,3,4,4,3,4,2,2,3,3,1,3,4,2,2,1,3,2,1,4	1,-2,4,4,-4,-5,-5,-5,-5,-5,3,5,-3,2,-1,4,-1,-3,-2,-4,-3,-1,-4,-1,-4,-1,-5,-3,-2,-5,-4,4,-3,2,3,2,-4	1,-8,4,8,-16,-10,-5,-20,-20,-15,12,10,-6,6,-3,4,-2,-6,-6,-16,-12,-3,-16,-2,-8,-3,-15,-3,-6,-20,-8,8,-3,6,6,2,-16
T1323	2,3,5,7,9,11,14,16,17,19,22,24,25,27,29,31,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62,64,66,69,70,72,74	1,4,2,1,3,1,1,4,4,3,1,3,4,2,3,2,2,1,1,3,3,4,2,4,1,2,2,3,2,2,4,3,1,3,3,3,3	1,-2,4,4,-4,-5,-5,-4,-5,-5,3,5,-3,2,-1,4,-1,-3,-2,-4,-3,-1,-4,-1,-4,-1,-5,-3,-2,-5,-4,-3,-3,2,3,2,-4	1,-8,8,4,-12,-5,-5,-16,-20,-15,3,15,-12,4,-3,8,-2,-3,-2,-12,-9,-4,-8,-4,-4,-2,-10,-9,-4,-10,-16,-9,-3,6,9,6,-12
T1324	2,3,5,7,9,12,14,16,17,19,22,24,25,27,29,31,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62,64,66,69,70,72,74	4,4,1,1,4,3,4,2,2,1,2,2,4,3,4,3,1,1,3,4,1,3,1,3,4,3,1,3,3,2,3,4,1,3,1,2,2	1,-2,4,4,-4,1,-5,-4,-5,-5,3,5,-3,2,-1,4,-1,-3,-2,-4,-3,-1,-4,-1,-4,-1,-5,-3,-2,-5,-4,-3,-3,2,3,2,-4	4,-8,4,4,-16,3,-20,-8,-10,-5,6,10,-12,6,-4,12,-1,-3,-6,-16,-3,-3,-4,-3,-16,-3,-5,-9,-6,-10,-12,-12,-3,6,3,4,-8
T1325	2,3,5,7,9,11,14,15,17,19,22,24,25,27,29,31,34,36,38,40,42,44,46,48,51,52,54,56,58,60,62,64,66,68,70,72,74	3,4,4,1,2,1,2,3,2,2,1,3,4,3,2,3,2,3,3,1,1,1,2,1,3,3,4,4,4,4,3,1,2,4,1,1,1	1,-2,4,4,-4,-5,-5,-5,-5,-5,3,5,-3,2,-1,4,-1,-3,-2,-4,-3,-1,-4,-1,1,-1,-5,-3,-2,-5,-4,-3,-3,-4,3,2,-4	3,-8,16,4,-8,-5,-10,-15,-10,-10,3,15,-12,6,-2,12,-2,-9,-6,-4,-3,-1,-8,-1,3,-3,-20,-12,-8,-20,-12,-3,-6,-16,3,2,-4
T1326	2,3,5,8,9,11,14,16,17,19,22,24,25,27,29,31,34,36,38,40,42,44,46,48,51,52,54,56,58,60,62,64,66,68,70,72,74	2,2,2,4,4,1,1,3,1,3,3,4,2,1,3,3,2,2,2,1,3,3,2,4,4,2,3,4,3,1,4,3,3,2,3,2,3	1,-2,4,4,-4,-5,-5,-4,-5,-5,3,5,-3,2,-1,4,-1,-3,-2,-4,-3,-1,-4,-1,1,-1,-5,-3,-2,-5,-4,-3,-3,-4,3,2,-4	2,-4,8,16,-16,-5,-5,-12,-5,-15,9,20,-6,2,-3,12,-2,-6,-4,-4,-9,-3,-8,-4,4,-2,-15,-12,-6,-5,-16,-9,-9,-8,9,4,-12
T1327	2,3,5,7,9,11,14,15,17,19,22,24,25,27,29,31,34,36,38,40,42,44,46,48,51,52,54,56,58,60,62,65,66,69,70,72,74	2,2,2,2,1,4,1,2,4,2,4,3,3,3,2,3,2,1,3,2,4,4,1,4,4,3,2,2,3,4,2,3,3,2,4,3,1	1,-2,4,4,-4,-5,-5,-5,-5,-5,3,5,-3,2,-1,4,-1,-3,-2,-4,-3,-1,-4,-1,1,-1,-5,-3,-2,-5,-4,4,-3,2,3,2,-4	2,-4,8,8,-4,-20,-5,-10,-20,-10,12,15,-9,6,-2,12,-2,-3,-6,-8,-12,-4,-4,-4,4,-3,-10,-6,-6,-20,-8,12,-9,4,12,6,-4
T1328	2,3,5,7,9,11,14,16,17,19,22,24,25,27,29,31,34,36,38,40,42,44,46,48,51,52,54,56,58,60,62,64,66,69,70,72,74	2,1,3,4,4,1,2,1,3,3,4,4,4,2,2,1,1,3,4,2,1,2,4,4,1,1,4,4,1,1,2,4,4,3,2,1,4	1,-2,4,4,-4,-5,-5,-4,-5,-5,3,5,-3,2,-1,4,-1,-3,-2,-4,-3,-1,-4,-1,1,-1,-5,-3,-2,-5,-4,-3,-3,2,3,2,-4	2,-2,12,16,-16,-5,-10,-4,-15,-15,12,20,-12,4,-2,4,-1,-9,-8,-8,-3,-2,-16,-4,1,-1,-20,-12,-2,-5,-8,-12,-12,6,6,2,-16
T1329	2,3,5,7,9,12,14,16,17,19,22,24,25,27,29,31,34,36,38,40,42,44,46,48,51,52,54,56,58,60,62,64,66,69,70,72,74	1,4,3,4,1,2,2,1,4,2,1,4,2,2,1,1,4,2,3,3,4,4,4,4,4,2,2,2,4,3,4,4,3,2,4,4,3	1,-2,4,4,-4,1,-5,-4,-5,-5,3,5,-3,2,-1,4,-1,-3,-2,-4,-3,-1,-4,-1,1,-1,-5,-3,-2,-5,-4,-3,-3,2,3,2,-4	1,-8,12,16,-4,2,-10,-4,-20,-10,3,20,-6,4,-1,4,-4,-6,-6,-12,-12,-4,-16,-4,4,-2,-10,-6,-8,-15,-16,-12,-9,4,12,8,-12
T1330	2,3,5,7,9,11,14,15,17,19,22,24,25,27,29,31,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62,65,66,69,70,73,74	3,1,4,3,4,2,4,4,3,3,4,2,3,1,2,2,1,4,3,4,2,1,2,3,1,2,1,4,1,2,1,3,4,1,2,2,4	1,-2,4,4,-4,-5,-5,-5,-5,-5,3,5,-3,2,-1,4,-1,-3,-2,-4,-3,-1,-4,-1,-4,-1,-5,-3,-2,-5,-4,4,-3,2,3,2,-4	3,-2,16,12,-16,-10,-20,-20,-15,-15,12,10,-9,2,-2,8,-1,-12,-6,-16,-6,-1,-8,-3,-4,-2,-5,-12,-2,-10,-4,12,-12,2,6,4,-16
T1331	2,3,5,7,9,11,14,16,17,19,22,24,25,27,29,31,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62,64,66,69,70,73,74	1,2,4,2,4,4,4,1,4,1,2,1,2,1,3,1,4,2,3,1,2,1,4,3,4,4,3,3,2,3,3,1,3,2,3,1,3	1,-2,4,4,-4,-5,-5,-4,-5,-5,3,5,-3,2,-1,4,-1,-3,-2,-4,-3,-1,-4,-1,-4,-1,-5,-3,-2,-5,-4,-3,-3,2,3,2,-4	1,-4,16,8,-16,-20,-20,-4,-20,-5,6,5,-6,2,-3,4,-4,-6,-6,-4,-6,-1,-16,-3,-16,-4,-15,-9,-4,-15,-12,-3,-9,4,9,2,-12
T1332	2,3,5,7,9,11,14,16,17,19,22,24,25,27,29,31,34,36,38,40,43,44,46,48,50,52,54,56,58,60,62,64,66,69,70,73,74	3,4,3,3,4,1,4,3,2,2,2,1,3,4,4,3,4,2,2,3,1,1,4,2,1,1,1,1,3,4,2,1,3,4,4,2,2	1,-2,4,4,-4,-5,-5,-4,-5,-5,3,5,-3,2,-1,4,-1,-3,-2,-4,-2,-1,-4,-1,-4,-1,-5,-3,-2,-5,-4,-3,-3,2,3,2,-4	3,-8,12,12,-16,-5,-20,-12,-10,-10,6,5,-9,8,-4,12,-4,-6,-4,-12,-2,-1,-16,-2,-4,-1,-5,-3,-6,-20,-8,-3,-9,8,12,4,-8
T1333	2,3,5,7,9,12,14,16,17,19,22,24,25,27,29,31,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62,64,66,69,70,73,74	1,1,2,4,1,4,2,1,3,2,4,3,3,1,4,2,3,4,3,4,4,1,1,3,2,1,4,3,3,1,4,3,4,1,4,4,2	1,-2,4,4,-4,1,-5,-4,-5,-5,3,5,-3,2,-1,4,-1,-3,-2,-4,-3,-1,-4,-1,-4,-1,-5,-3,-2,-5,-4,-3,-3,2,3,2,-4	1,-2,8,16,-4,4,-10,-4,-15,-10,12,15,-9,2,-4,8,-3,-12,-6,-16,-12,-1,-4,-3,-8,-1,-20,-9,-6,-5,-16,-9,-12,2,12,8,-8
T1334	2,3,5,7,9,11,14,15,17,19,22,24,25,27,29,31,34,36,38,40,42,44,46,48,51,52,54,56,58,60,62,65,66,69,70,73,74	1,3,2,2,4,1,1,3,1,2,4,4,1,2,4,4,3,4,3,2,4,4,1,3,4,3,2,1,2,3,2,1,1,3,2,4,3	1,-2,4,4,-4,-5,-5,-5,-5,-5,3,5,-3,2,-1,4,-1,-3,-2,-4,-3,-1,-4,-1,1,-1,-5,-3,-2,-5,-4,4,-3,2,3,2,-4	1,-6,8,8,-16,-5,-5,-15,-5,-10,12,20,-3,4,-4,16,-3,-12,-6,-8,-12,-4,-4,-3,4,-3,-10,-3,-4,-15,-8,4,-3,6,6,8,-12
T1335	2,3,5,7,9,11,14,15,17,19,22,24,25,27,29,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62,64,66,68,70,72,74	2,3,4,4,2,2,2,3,3,1,1,4,2,3,1,3,3,2,1,4,3,4,3,4,1,2,3,4,4,2,2,3,1,1,2,4,3	1,-2,4,4,-4,-5,-5,-5,-5,-5,3,5,-3,2,-1,-4,-1,-3,-2,-4,-3,-1,-4,-1,-4,-1,-5,-3,-2,-5,-4,-3,-3,-4,3,2,-4	2,-6,16,16,-8,-10,-10,-15,-15,-5,3,20,-6,6,-1,-12,-3,-6,-2,-16,-9,-4,-12,-4,-4,-2,-15,-12,-8,-10,-8,-9,-3,-4,6,8,-12
T1336	2,3,5,7,9,11,14,15,17,19,22,24,25,27,29,33,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62,64,66,68,70,72,74	3,2,2,1,1,3,2,2,1,1,1,4,1,4,1,2,1,4,2,3,2,4,4,2,3,3,4,2,2,2,4,3,2,3,3,4,2	1,-2,4,4,-4,-5,-5,-5,-5,-5,3,5,-3,2,-1,-5,-1,-3,-2,-4,-3,-1,-4,-1,-4,-1,-5,-3,-2,-5,-4,-3,-3,-4,3,2,-4	3,-4,8,4,-4,-15,-10,-10,-5,-5,3,20,-3,8,-1,-10,-1,-12,-4,-12,-6,-4,-16,-2,-12,-3,-20,-6,-4,-10,-16,-9,-6,-12,9,8,-8
T1337	2,3,5,7,9,11,14,16,17,19,22,24,25,27,29,32,34,36,38,40,43,44,46,48,50,52,54,56,58,60,62,64,66,68,70,72,74	1,3,4,2,3,3,1,1,2,1,1,2,2,2,2,4,4,4,3,1,1,2,3,2,3,4,1,3,3,1,1,4,3,2,3,4,1	1,-2,4,4,-4,-5,-5,-4,-5,-5,3,5,-3,2,-1,-4,-1,-3,-2,-4,-2,-1,-4,-1,-4,-1,-5,-3,-2,-5,-4,-3,-3,-4,3,2,-4	1,-6,16,8,-12,-15,-5,-4,-10,-5,3,10,-6,4,-2,-16,-4,-12,-6,-4,-2,-2,-12,-2,-12,-4,-5,-9,-6,-5,-4,-12,-9,-8,9,8,-4
T1338	2,3,5,7,9,11,14,16,17,19,22,24,25,27,29,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62,64,66,69,70,72,74	4,2,3,1,3,1,1,2,1,1,1,3,2,4,4,2,4,4,2,4,4,3,2,1,2,2,4,3,1,4,3,1,1,2,2,1,4	1,-2,4,4,-4,-5,-5,-4,-5,-5,3,5,-3,2,-1,-4,-1,-3,-2,-4,-3,-1,-4,-1,-4,-1,-5,-3,-2,-5,-4,-3,-3,2,3,2,-4	4,-4,12,4,-12,-5,-5,-8,-5,-5,3,15,-6,8,-4,-8,-4,-12,-4,-16,-12,-3,-8,-1,-8,-2,-20,-9,-2,-20,-12,-3,-3,4,6,2,-16
T1339	2,3,5,7,9,12,14,16,17,19,22,24,25,27,29,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62,64,66,69,70,72,74	2,3,4,3,4,1,1,3,4,4,3,2,4,1,4,4,4,4,1,2,1,1,1,4,1,1,3,2,2,2,3,3,2,1,3,3,3	1,-2,4,4,-4,1,-5,-4,-5,-5,3,5,-3,2,-1,-4,-1,-3,-2,-4,-3,-1,-4,-1,-4,-1,-5,-3,-2,-5,-4,-3,-3,2,3,2,-4	2,-6,16,12,-16,1,-5,-12,-20,-20,9,10,-12,2,-4,-16,-4,-12,-2,-8,-3,-1,-4,-4,-4,-1,-15,-6,-4,-10,-12,-9,-6,2,9,6,-12
T1340	2,3,5,7,9,11,14,15,17,19,22,24,25,27,29,32,34,36,38,40,42,44,46,48,51,52,54,56,58,60,62,64,66,68,70,72,74	4,4,2,1,4,4,3,2,1,3,3,3,2,1,3,3,1,1,2,1,4,2,2,1,3,4,2,2,2,4,1,3,2,2,1,3,3	1,-2,4,4,-4,-5,-5,-5,-5,-5,3,5,-3,2,-1,-4,-1,-3,-2,-4,-3,-1,-4,-1,1,-1,-5,-3,-2,-5,-4,-3,-3,-4,3,2,-4	4,-8,8,4,-16,-20,-15,-10,-5,-15,9,15,-6,2,-3,-12,-1,-3,-4,-4,-12,-2,-8,-1,3,-4,-10,-6,-4,-20,-4,-9,-6,-8,3,6,-12
T1341	2,3,5,7,9,11,14,15,17,19,22,24,25,27,29,33,34,36,38,40,42,44,46,48,51,52,54,56,58,60,62,64,66,68,70,72,74	2,1,4,3,3,4,1,3,2,2,1,1,4,2,4,2,3,2,3,3,4,3,3,2,4,4,2,2,3,1,2,1,3,4,2,1,3	1,-2,4,4,-4,-5,-5,-5,-5,-5,3,5,-3,2,-1,-5,-1,-3,-2,-4,-3,-1,-4,-1,1,-1,-5,-3,-2,-5,-4,-3,-3,-4,3,2,-4	2,-2,16,12,-12,-20,-5,-15,-10,-10,3,5,-12,4,-4,-10,-3,-6,-6,-12,-12,-3,-12,-2,4,-4,-10,-6,-6,-5,-8,-3,-9,-16,6,2,-12
T1342	2,3,5,7,9,11,14,16,17,19,22,24,25,27,29,32,34,36,38,40,43,44,46,48,51,52,54,56,58,60,62,64,66,68,70,72,74	4,3,2,4,4,2,4,2,2,4,1,2,1,2,3,3,1,3,4,1,4,2,2,4,1,4,2,2,1,4,1,2,2,4,1,4,3	1,-2,4,4,-4,-5,-5,-4,-5,-5,3,5,-3,2,-1,-4,-1,-3,-2,-4,-2,-1,-4,-1,1,-1,-5,-3,-2,-5,-4,-3,-3,-4,3,2,-4	4,-6,8,16,-16,-10,-20,-8,-10,-20,3,10,-3,4,-3,-12,-1,-9,-8,-4,-8,-2,-8,-4,1,-4,-10,-6,-2,-20,-4,-6,-6,-16,3,8,-12
T1343	2,3,5,7,9,11,14,16,17,19,22,24,25,27,29,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62,64,66,69,70,73,74	3,2,3,2,4,2,3,3,1,4,3,4,1,1,1,2,3,1,1,1,4,3,4,2,3,2,2,2,1,1,4,3,3,3,3,2,3	1,-2,4,4,-4,-5,-5,-4,-5,-5,3,5,-3,2,-1,-4,-1,-3,-2,-4,-3,-1,-4,-1,-4,-1,-5,-3,-2,-5,-4,-3,-3,2,3,2,-4	3,-4,12,8,-16,-10,-15,-12,-5,-20,9,20,-3,2,-1,-8,-3,-3,-2,-4,-12,-3,-16,-2,-12,-2,-10,-6,-2,-5,-16,-9,-9,6,9,4,-12
T1344	2,3,5,7,9,12,14,16,17,19,22,24,25,27,29,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62,64,66,69,70,73,74	1,2,2,4,3,2,3,4,3,1,4,4,4,3,2,1,4,2,3,2,1,2,2,2,4,1,2,3,2,4,3,3,3,2,2,4,4	1,-2,4,4,-4,1,-5,-4,-5,-5,3,5,-3,2,-1,-4,-1,-3,-2,-4,-3,-1,-4,-1,-4,-1,-5,-3,-2,-5,-4,-3,-3,2,3,2,-4	1,-4,8,16,-12,2,-15,-16,-15,-5,12,20,-12,6,-2,-4,-4,-6,-6,-8,-3,-2,-8,-2,-16,-1,-10,-9,-4,-20,-12,-9,-9,4,6,8,-16
T1345	2,3,6,7,9,11,14,15,17,19,22,23,25,27,29,31,34,36,39,40,42,44,46,48,50,52,54,56,58,60,62,64,66,68,71,72,74	1,3,3,4,2,3,2,1,3,4,1,1,3,3,1,4,3,2,2,4,1,4,1,3,1,1,4,1,2,4,2,1,3,3,4,2,3	1,-2,-3,4,-4,-5,-5,-5,-5,-5,3,-3,-3,2,-1,4,-1,-3,-3,-4,-3,-1,-4,-1,-4,-1,-5,-3,-2,-5,-4,-3,-3,-4,-1,2,-4	1,-6,-9,16,-8,-15,-10,-5,-15,-20,3,-3,-9,6,-1,16,-3,-6,-6,-16,-3,-4,-4,-3,-4,-1,-20,-3,-4,-20,-8,-3,-9,-12,-4,4,-12
T1346	2,3,6,7,9,11,14,15,17,19,22,23,25,27,29,31,34,36,39,40,42,44,46,48,50,52,54,56,58,60,62,64,66,69,70,72,74	2,4,3,4,4,4,2,1,1,2,4,2,2,3,3,3,2,1,4,1,1,4,2,4,4,1,2,2,4,1,1,2,2,3,3,3,3	1,-2,-3,4,-4,-5,-5,-5,-5,-5,3,-3,-3,2,-1,4,-1,-3,-3,-4,-3,-1,-4,-1,-4,-1,-5,-3,-2,-5,-4,-3,-3,2,3,2,-4	2,-8,-9,16,-16,-20,-10,-5,-5,-10,12,-6,-6,6,-3,12,-2,-3,-12,-4,-3,-4,-8,-4,-16,-1,-10,-6,-8,-5,-4,-6,-6,6,9,6,-12
T1347	2,3,6,7,9,11,14,15,17,19,22,23,25,27,29,31,34,36,39,40,42,44,46,48,50,52,54,56,58,60,62,64,66,69,71,72,74	3,2,4,3,3,3,2,2,2,2,2,4,4,2,2,4,4,3,1,4,4,3,2,4,4,4,1,2,3,4,3,1,1,4,1,4,2	1,-2,-3,4,-4,-5,-5,-5,-5,-5,3,-3,-3,2,-1,4,-1,-3,-3,-4,-3,-1,-4,-1,-4,-1,-5,-3,-2,-5,-4,-3,-3,2,-1,2,-4	3,-4,-12,12,-12,-15,-10,-10,-10,-10,6,-12,-12,4,-2,16,-4,-9,-3,-16,-12,-3,-8,-4,-16,-4,-5,-6,-6,-20,-12,-3,-3,8,-1,8,-8
T1348	2,3,6,7,9,11,14,15,17,19,22,23,25,27,29,31,34,36,39,40,42,44,46,48,51,52,54,56,58,60,62,64,66,68,71,72,74	3,2,3,3,2,3,4,3,1,1,4,1,1,4,3,2,2,3,2,4,4,2,1,4,4,2,2,1,4,4,1,3,4,1,4,4,1	1,-2,-3,4,-4,-5,-5,-5,-5,-5,3,-3,-3,2,-1,4,-1,-3,-3,-4,-3,-1,-4,-1,1,-1,-5,-3,-2,-5,-4,-3,-3,-4,-1,2,-4	3,-4,-9,12,-8,-15,-20,-15,-5,-5,12,-3,-3,8,-3,8,-2,-9,-6,-16,-12,-2,-4,-4,4,-2,-10,-3,-8,-20,-4,-9,-12,-4,-4,8,-4
T1349	2,3,6,7,9,11,14,15,17,19,22,24,25,27,29,31,34,36,39,40,42,44,46,48,50,52,54,56,58,60,62,64,66,68,70,72,74	2,2,3,3,1,1,2,1,2,1,3,1,2,2,4,2,2,3,1,1,3,3,1,4,3,4,1,4,4,2,4,4,1,3,4,3,3	1,-2,-3,4,-4,-5,-5,-5,-5,-5,3,5,-3,2,-1,4,-1,-3,-3,-4,-3,-1,-4,-1,-4,-1,-5,-3,-2,-5,-4,-3,-3,-4,3,2,-4	2,-4,-9,12,-4,-5,-10,-5,-10,-5,9,5,-6,4,-4,8,-2,-9,-3,-4,-9,-3,-4,-4,-12,-4,-5,-12,-8,-10,-16,-12,-3,-12,12,6,-12
T1350	2,3,6,7,9,11,14,15,17,19,22,24,25,27,29,31,34,36,39,40,42,44,46,48,50,52,54,56,58,60,62,64,66,68,71,72,74	3,4,2,1,3,4,1,3,1,1,2,1,4,2,3,4,3,2,4,2,2,2,4,1,3,4,4,1,3,3,2,3,2,4,1,3,2	1,-2,-3,4,-4,-5,-5,-5,-5,-5,3,5,-3,2,-1,4,-1,-3,-3,-4,-3,-1,-4,-1,-4,-1,-5,-3,-2,-5,-4,-3,-3,-4,-1,2,-4	3,-8,-6,4,-12,-20,-5,-15,-5,-5,6,5,-12,4,-3,16,-3,-6,-12,-8,-6,-2,-16,-1,-12,-4,-20,-3,-6,-15,-8,-9,-6,-16,-1,6,-8
T1351	2,3,6,7,9,11,14,15,17,19,22,24,25,27,29,31,34,36,39,40,42,44,46,48,51,52,54,56,58,60,62,64,66,68,70,72,74	3,2,4,3,4,3,1,1,1,2,3,2,4,2,4,1,4,1,2,4,2,4,2,4,1,1,3,2,1,3,2,4,1,1,2,1,3	1,-2,-3,4,-4,-5,-5,-5,-5,-5,3,5,-3,2,-1,4,-1,-3,-3,-4,-3,-1,-4,-1,1,-1,-5,-3,-2,-5,-4,-3,-3,-4,3,2,-4	3,-4,-12,12,-16,-15,-5,-5,-5,-10,9,10,-12,4,-4,4,-4,-3,-6,-16,-6,-4,-8,-4,1,-1,-15,-6,-2,-15,-8,-12,-3,-4,6,2,-12
T1352	2,3,5,7,9,11,14,16,17,19,22,24,25,27,29,32,34,36,39,40,42,44,46,48,50,52,54,56,58,60,62,64,66,69,70,72,74	3,4,1,2,1,3,1,1,1,1,1,4,3,2,2,2,3,3,4,1,4,1,3,4,4,2,3,4,1,4,2,3,3,1,4,1,3	1,-2,4,4,-4,-5,-5,-4,-5,-5,3,5,-3,2,-1,-4,-1,-3,-3,-4,-3,-1,-4,-1,-4,-1,-5,-3,-2,-5,-4,-3,-3,2,3,2,-4	3,-8,4,8,-4,-15,-5,-4,-5,-5,3,20,-9,4,-2,-8,-3,-9,-12,-4,-12,-1,-12,-4,-16,-2,-15,-12,-2,-20,-8,-9,-9,2,12,2,-12
T1353	2,3,5,7,9,11,14,15,18,20,22,23,25,27,29,31,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62,64,66,68,70,72,74	2,4,4,2,3,2,4,1,3,4,3,4,4,3,1,3,4,1,3,1,1,4,1,4,1,4,4,3,1,2,2,1,3,1,2,4,3	1,-2,4,4,-4,-5,-5,-5,5,-2,3,-3,-3,2,-1,4,-1,-3,-2,-4,-3,-1,-4,-1,-4,-1,-5,-3,-2,-5,-4,-3,-3,-4,3,2,-4	2,-8,16,8,-12,-10,-20,-5,15,-8,9,-12,-12,6,-1,12,-4,-3,-6,-4,-3,-4,-4,-4,-4,-4,-20,-9,-2,-10,-8,-3,-9,-4,6,8,-12
T1354	2,3,5,7,9,12,14,15,18,20,22,23,25,27,29,31,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62,64,66,68,70,72,74	2,3,3,4,4,2,1,4,4,4,1,4,3,1,4,2,2,2,3,1,2,4,2,2,4,4,4,4,2,4,1,1,4,1,2,2,1	1,-2,4,4,-4,1,-5,-5,5,-2,3,-3,-3,2,-1,4,-1,-3,-2,-4,-3,-1,-4,-1,-4,-1,-5,-3,-2,-5,-4,-3,-3,-4,3,2,-4	2,-6,12,16,-16,2,-5,-20,20,-8,3,-12,-9,2,-4,8,-2,-6,-6,-4,-6,-4,-8,-2,-16,-4,-20,-12,-4,-20,-4,-3,-12,-4,6,4,-4
